"Habitat" "Site" "Station" "Tag" "Genus" "Species"
"196" "Forest" "Audubon2" "6A" "568" "Blarina" "brevicauda"
"197" "Forest" "Audubon2" "3B" "DESC" "Sorex" "cinereus"
"198" "Forest" "Audubon2" "10B" "RECAP" "Peromyscus" ""
"199" "Forest" "Audubon2" "28A" "" "Peromyscus" ""
"200" "Forest" "Audubon2" "30A" "" "Peromyscus" ""
"201" "Forest" "Audubon2" "7A" "" "Mustela" ""
"202" "Forest" "Audubon2" "18B" "" "Tamias" "striatus"
"203" "Farm" "Hort2" "24B" "156" "Peromyscus" "leucopus"
"204" "Farm" "Hort2" "23A" "156" "Peromyscus" "leucopus"
"205" "Farm" "Hort2" "23A" "156" "Peromyscus" "leucopus"
"206" "Farm" "Hort2" "29B" "332" "Peromyscus" "leucopus"
"207" "Farm" "Hort2" "24B" "333" "Tamias" "striatus"
"208" "Farm" "Hort2" "26B" "334" "Tamias" "striatus"
"209" "Farm" "Hort2" "18B" "341" "Tamias" "striatus"
"210" "Farm" "Hort2" "18B" "351" "Peromyscus" "leucopus"
"211" "Farm" "Hort2" "30B" "374" "Peromyscus" "leucopus"
"212" "Farm" "Hort2" "30A" "374" "Peromyscus" "leucopus"
"213" "Farm" "Hort2" "26B" "378" "Peromyscus" "leucopus"
"214" "Farm" "Hort2" "20B" "378" "Peromyscus" "leucopus"
"215" "Farm" "Hort2" "16B" "398" "Tamias" "striatus"
"216" "Farm" "Hort2" "26A" "506" "Microtus" "pennsylvanicus"
"217" "Farm" "Hort2" "24A" "507" "Microtus" "pennsylvanicus"
"218" "Farm" "Hort2" "13A" "545" "Microtus" "pennsylvanicus"
"219" "Farm" "Hort2" "18B" "546" "Microtus" "pennsylvanicus"
"220" "Farm" "Hort2" "24B" "547" "Zapus" "hudsonius"
"221" "Farm" "Hort2" "23B" "562" "Blarina" "brevicauda"
"222" "Farm" "Hort2" "18A" "" "Tamias" "striatus"
"223" "Farm" "Hort2" "21B" "" "Tamias" "striatus"
"224" "Farm" "Hort3" "5A" "132" "Tamias" "striatus"
"225" "Farm" "Hort3" "8B" "132" "Tamias" "striatus"
"226" "Farm" "Hort3" "24A" "154" "Tamias" "striatus"
"227" "Farm" "Hort3" "14A" "157" "Peromyscus" "leucopus"
"228" "Farm" "Hort3" "11B" "157" "Peromyscus" "leucopus"
"229" "Farm" "Hort3" "13A" "157" "Peromyscus" "leucopus"
"230" "Farm" "Hort3" "12B" "158" "Peromyscus" "leucopus"
"231" "Farm" "Hort3" "12B" "158" "Peromyscus" "leucopus"
"232" "Farm" "Hort3" "13A" "158" "Peromyscus" "leucopus"
"233" "Farm" "Hort3" "14B" "158" "Peromyscus" "leucopus"
"234" "Farm" "Hort3" "10A" "158" "Peromyscus" "leucopus"
"235" "Farm" "Hort3" "12B" "159" "Tamias" "striatus"
"236" "Farm" "Hort3" "11B" "159" "Tamias" "striatus"
"237" "Farm" "Hort3" "9A" "160" "Peromyscus" "leucopus"
"238" "Farm" "Hort3" "11A" "160" "Peromyscus" "leucopus"
"239" "Farm" "Hort3" "10A" "160" "Peromyscus" "leucopus"
"240" "Farm" "Hort3" "10B" "160" "Peromyscus" "leucopus"
"241" "Farm" "Hort3" "9B" "160" "Peromyscus" "leucopus"
"242" "Farm" "Hort3" "9B" "160" "Peromyscus" "leucopus"
"243" "Farm" "Hort3" "7A" "173" "Peromyscus" "leucopus"
"244" "Farm" "Hort3" "28A" "335" "Tamias" "striatus"
"245" "Farm" "Hort3" "28A" "335" "Tamias" "striatus"
"246" "Farm" "Hort3" "26B" "336" "Microtus" "pennsylvanicus"
"247" "Farm" "Hort3" " 22A" "337" "Peromyscus" "leucopus"
"248" "Farm" "Hort3" "20B" "338" "Peromyscus" "leucopus"
"249" "Farm" "Hort3" "11A" "338" "Peromyscus" "leucopus"
"250" "Farm" "Hort3" "11A" "338" "Peromyscus" "leucopus"
"251" "Farm" "Hort3" "21A" "338" "Peromyscus" "leucopus"
"252" "Farm" "Hort3" "6B" "340" "Tamias" "striatus"
"253" "Farm" "Hort3" "9B" "340" "Tamias" "striatus"
"254" "Farm" "Hort3" "14B" "352" "Peromyscus" "leucopus"
"255" "Farm" "Hort3" "6B" "353" "Microtus" "pennsylvanicus"
"256" "Farm" "Hort3" "23A" "373" "Microtus" "pennsylvanicus"
"257" "Farm" "Hort3" "29A" "379" "Tamias" "striatus"
"258" "Farm" "Hort3" "29A" "397" "Tamias" "striatus"
"259" "Farm" "Hort3" "30B" "526" "Peromyscus" "leucopus"
"260" "Farm" "Hort3" "20B" "529" "Microtus" "pennsylvanicus"
"261" "Farm" "Hort3" "20A" "539" "Tamias" "striatus"
"262" "Farm" "Hort3" "16A" "539" "Tamias" "striatus"
"263" "Farm" "Hort3" "21B" "540" "Peromyscus" "leucopus"
"264" "Farm" "Hort3" "23A" "540" "Peromyscus" "leucopus"
"265" "Farm" "Hort3" "22B" "540" "Peromyscus" "leucopus"
"266" "Farm" "Hort3" "6A" "544" "Peromyscus" "leucopus"
"267" "Farm" "Hort3" "2B" "544" "Peromyscus" "leucopus"
"268" "Farm" "Hort3" "12A" "548" "Peromyscus" "leucopus"
"269" "Farm" "Hort3" "3B" "549" "Peromyscus" "leucopus"
"270" "Farm" "Hort3" "2A" "550" "Peromyscus" "leucopus"
"271" "Farm" "Hort3" "8B" "550" "Peromyscus" "leucopus"
"272" "Farm" "Hort3" "8A" "550" "Peromyscus" "leucopus"
"273" "Farm" "Hort3" "27B" "" "Tamias" "striatus"
"274" "Farm" "Hort3" "26A" "" "Tamias" "striatus"
"275" "Farm" "Hort3" "25B" "" "Tamias" "striatus"
"276" "Farm" "Inter1" "24A" "161" "Microtus" "pennsylvanicus"
